question_formal,question_conversational,answer,context,page,chunck
ما هي نسبة النمو المتوقع أن يحققها الاقتصاد العالمي خلال العام المقبل؟,كم تتوقعون يكون نمو الاقتصاد العالمي السنة الجاية؟,2.90%,"تشـير توقعـات صنـدوق ً النقـد الدولـي إلـى تباطـؤ النمـو العالمـي علـى المـدى المتوسـط حيـث يتوقـع نمـوا بنسـبة %3 خـال العـام الحالـي وبنسـبة %2.9 خـال العـام القـادم؛ محققً ـا بذلـك أقـل مـن متوسـط النمـو خـال العقـد األخيـر لمـا قبـل الجائحـة فـي المـدة مـن 2019-2000م والبالـغ نحـو ،%3.8 وترتفـع ُ احتماليـة حـدوث المخاطـر المحيطـة باالقتصـادات المتقدمـة واألسـواق الصاعـدة، إذ يتوقـع أن تشــهد منطقــة اليــورو النمــو األضعــف خــا ً ل العاميــن القادمــة، فــي حيــن تواجــه الصيــن أزمــة عقاريـة يتجـاوز أثرهـا االقتصـاد الصينـي، حيـث تعـد واحـدة مـن أهـم المخاطـر المحيطـة باالقتصـاد ً العالمـي، خاصـة مـع الشـركاء التجارييـن للصيـن والمصدريـن للسـلع األساسـية",٩٢,484
ما هي نسبة النمو المتوقعة لمنطقة اليورو خلال العامين القادمين؟,كم تتوقعون يكون نمو اقتصاد دول اليورو في السنتين الجايين؟,نمو ضعيف,"تشـير توقعـات صنـدوق ً النقـد الدولـي إلـى تباطـؤ النمـو العالمـي علـى المـدى المتوسـط حيـث يتوقـع نمـوا بنسـبة %3 خـال العـام الحالـي وبنسـبة %2.9 خـال العـام القـادم؛ محققً ـا بذلـك أقـل مـن متوسـط النمـو خـال العقـد األخيـر لمـا قبـل الجائحـة فـي المـدة مـن 2019-2000م والبالـغ نحـو ،%3.8 وترتفـع ُ احتماليـة حـدوث المخاطـر المحيطـة باالقتصـادات المتقدمـة واألسـواق الصاعـدة، إذ يتوقـع أن تشــهد منطقــة اليــورو النمــو األضعــف خــا ً ل العاميــن القادمــة، فــي حيــن تواجــه الصيــن أزمــة عقاريـة يتجـاوز أثرهـا االقتصـاد الصينـي، حيـث تعـد واحـدة مـن أهـم المخاطـر المحيطـة باالقتصـاد ً العالمـي، خاصـة مـع الشـركاء التجارييـن للصيـن والمصدريـن للسـلع األساسـية",٩٢,484
ما هو مقدار الزيادة المتوقعة في الطلب العالمي على البترول لعام 2024 مقارنة بعام 2023؟,كم الزيادة اللي متوقعينها في الطلب العالمي على البترول في 2024 مقارنة بـ 2023؟,2.2 مليون برميل/يوميا في 2024 مقارنة بزيادة حوالي 2.5 مليون برميل/يوميا في 2023,"كمــا خفضــت منظمــة الــدول المصــدرة للنفــط )أوبــك( توقعاتهــا إلجمالــي الطلــب العالمــي خــال الربــع األخيــر مــن العــام الحالــي والربــع األول مــن عــام 2024م، مــع اســتمرار نمــو الطلــب العالمـي علـى البتـرول ليزيـد بحوالـي 2.2 مليـون برميـل/ يوميـاً فـي عـام 2024م مقارنـة بــزيادة حوالـي 2.5 مليـون برميل/يوميـاً فـي عـام 2023م. مدفوعـاً بتوقعـات زيـادة الطلـب مـن الصيـن.",٩٤,494
ما هي الدولة التي ساهمت زيادة طلبها المتوقعة على البترول في عام 2024؟,وش الدولة اللي متوقعين يزيد طلبها على البترول في 2024؟,الصين,"كمــا خفضــت منظمــة الــدول المصــدرة للنفــط )أوبــك( توقعاتهــا إلجمالــي الطلــب العالمــي خــال الربــع األخيــر مــن العــام الحالــي والربــع األول مــن عــام 2024م، مــع اســتمرار نمــو الطلــب العالمـي علـى البتـرول ليزيـد بحوالـي 2.2 مليـون برميـل/ يوميـاً فـي عـام 2024م مقارنـة بــزيادة حوالـي 2.5 مليـون برميل/يوميـاً فـي عـام 2023م. مدفوعـاً بتوقعـات زيـادة الطلـب مـن الصيـن.",٩٤,494
 ما هو العامل الذي قد يساهم في تحسين أداء الاقتصاد العالمي وتغيير اتجاه التحديات الحالية؟,وش الشيء اللي ممكن يحسن الاقتصاد العالمي ويغير الوضع الحالي للأحسن؟,تراجع معدل التضخم العالمي بوتيرة أسرع من المتوقع والبدء بخفض أسعار الفائدة الأمريكية,"علـى الرغـم مـن اسـتمرار حالـة عـدم اليقيـن والتحديـات التـي مازالـت تؤثر علـى اقتصادات الدول المتقدمـة والناشـئة، إال أن هنـاك عوامـل إيجابيـة قـد تغيـر مـن اتجـاه هـذه التحديـات لتحسـن مـن أداء االقتصــاد العالمــي، كتراجــع معــدالت التضخــم العالميــة بوتيــرة أســرع مــن المتوقــع والبــدء بخفـض أسـعار الفائـدة األمريكيـة بـدءاً مـن العـام المقبـل. ممـا يحفـز أسـواق االسـتثمار ويحافـظ ً علـى معـدالت البطالـة عنـد مسـتويات منخفضـة وينعكـس إيجابـا علـى نمـو االقتصـاد العالمـي وكذلـك علـى اقتصـاد المملكـة.",٩٦,509
ما هو البرنامج الذي أطلقته المملكة بهدف تحويلها إلى قوة صناعية رائدة ومنصة لوجستية عالمية؟,وش اسم البرنامج اللي بدأنا فيه عشان نحول السعودية لدولة صناعية قوية ومركز لوجستي عالمي؟,برنامج تطوير الصناعة الوطنية والخدمات اللوجستية,حيـث أطلقـت المملكـة عـدة برامـج ومبـادرات لتعزيـز المحتـوى المحلـي منهـا برنامـج تطويـر الصناعـة الوطنيـة والخدمـات اللوجسـتية والـذي يهـدف إلـى تحويـل المملكـة إلـى قـوه صناعيـة رائـدة ومنصـة لوجسـتية عالميـة,٩٧,511
في أي شهر تصدر الميزانية العامة؟,في أي شهر تطلع الميزانية العامة؟,NA,,,
هل تتبع الوثيقة تصنيف LSTM؟,هل الميزانية تتبع تصنيف LSTM؟,NA,,,
هل المناطق الاقتصادية في السعودية أكثر منها في الامارات؟,هل المناطق الاقتصادية عندنا أكثر من اللي في الإمارات؟,NA,,,
كم استثمر صندوق الاستثمارات العامة في لوسيد؟,كم استثمر صندوق الاستثمارات العامة في شركة لوسيد؟,NA,,,
ما نسبة التغير في الناتج المحلي للانشطة غير النفطية للنصف الأول من عام ٢٠٢٠ مقارنة بالسنة السابقة ,كم تغير الناتج المحلي للأنشطة غير النفطية في النصف الأول من 2020 مقارنة بالسنة اللي قبلها؟,NA,,,
ما معدل التضخم خلال شهر مايو فقط في ٢٠٢٣؟,كم كان التضخم في شهر مايو بس في 2023؟,NA,,,
ما أعلى نسبة تطابق الانفاق الحكومي للميزانية المعتمدة خلال اخر ٢٠ عام؟,وش أعلى نسبة تطابق بين الإنفاق الحكومي والميزانية المعتمدة في آخر 20 سنة؟,NA,,,
كيف ستؤثر خطة الانفاق للاعوام القادمة على أصول صندوق الاستثمارات العامة؟,وش تأثير خطة الإنفاق للسنين الجاية على أصول صندوق الاستثمارات العامة؟,NA,,,
ما العجز المتوقع لعام ٢٠٢٩؟,كم تتوقعون يكون العجز في 2029؟,NA,,,
كم تنوي الحكومة الاقتراض من الصين؟,كم الحكومة ناوية تقترض من الصين؟,NA,,,
كيف اثرت الازمة السودانية على الإيرادات؟,وش تأثير الأزمة في السودان على الإيرادات؟,NA,,,
ما هي تداعيات ازمة كورونا على انتاج النفط في فنزويلا؟,وش تأثير أزمة كورونا على إنتاج البترول في فنزويلا؟,NA,,,
لماذا حدد المستوى المحايد لمؤشر مديري المشتريات ب٥٠ نقطة؟,ليش حطوا المستوى الطبيعي لمؤشر مديري المشتريات عند 50 نقطة؟,NA,,,
ما تأثير الازمة الروسية الأوكرانية على أسعار توافر القمح؟,وش تأثير الأزمة اللي بين روسيا وأوكرانيا على أسعار القمح؟,NA,,,
ما هو معدل النمو في عدد السياح الوافدين منذ بداية العام الحالي وحتى شهر يوليو في محافظة الاحساء؟,كم زاد عدد السياح اللي جو الأحساء من بداية السنة لين شهر يوليو؟,NA,,,
ما هو معدل البطالة بين الذكور السعوديين في الربع الثاني من عام 2023؟,كم نسبة البطالة بين الشباب السعودي في الربع الثاني من 2023؟,NA,,,
ما هو المستهدف لرؤية السعودية 2030 بشأن مشاركة المرأة في الشركات الاستشارية؟,وش الهدف اللي حاطينه في رؤية 2030 بالنسبة لمشاركة الحريم في الشركات الاستشارية؟,NA,,,
ما هو معدل النمو في الرقم القياسي لأسعار المستهلك في الولايات المتحدة الامريكية؟,كم زادت أسعار الأشياء اللي يشترونها الناس في أمريكا؟,NA,,,
ما هي نسبة النفقات الوسيطة والرأسمالية من إجمالي النفقات؟,كم نسبة المصاريف الوسيطة والرأسمالية من كل المصاريف؟,NA,,,
ما هي نسبة النمو في التسهيلات الممنوحة للشركات الحكومية في نهاية الربع الثالث من عام 2023م؟,كم زادت التسهيلات اللي عطيتوها للشركات الحكومية بنهاية الربع الثالث من 2023؟,NA,,,
ما هو معدل نمو الودائع تحت الطلب حتى نهاية شهر ابريل من عام 2023م؟,كم زادت الودائع تحت الطلب لين نهاية شهر أبريل من 2023؟,NA,,,
ما هو معدل انخفاض مؤشر الأهلي المرن بنهاية الربع الثالث من عام 2023م مقارنة بالفترة نفسها من العام الماضي؟,كم نقص مؤشر الأهلي المرن بنهاية الربع الثالث من 2023 مقارنة بنفس الفترة من السنة اللي قبلها؟,NA,,,
"ما هو الهدف من برنامج ""فريد""؟","وش الهدف من برنامج ""فريد""؟",NA,,,
ما هي الأندية الرياضية التي شملها برنامج التخصيص؟,وش الأندية الرياضية اللي شملها برنامج التخصيص؟,NA,,,
ما هو المستهدف للناتج المحلي الصناعي في عام 2040م وفقاً للستراتيجية الوطنية للصناعة؟,كم تتوقعون يكون إنتاج المصانع في 2040 حسب الخطة اللي حاطينها؟,NA,,,
ما هي نسبة العجز المتوقعة في الميزانية لعام 2023م كنسبة مئوية من الناتج المحلي الإجمالي القطري؟,كم تتوقعون يكون العجز في الميزانية في 2023 كنسبة من الاقتصاد القطري؟,NA,,,
ما هو السبب الرئيسي لزيادة الإنفاق على باب المنافع السياسية لعام 2023م؟,وش السبب الرئيسي لزيادة المصاريف على باب المنافع السياسية في 2023؟,NA,,,
هل سوف ترتفع تعويضات العاملين لعام 2024م؟,هل بتزيد رواتب الموظفين في 2024؟,NA,,,
ما هو مستهدف إجمالي الدين العام في نهاية عام 2023م؟,كم تتوقعون يكون مجموع الديون اللي على الحكومة بنهاية 2023؟,NA,,,
ما هي انواع إيرادات ضريبة الدخل والأرباح والمكاسب الرأسمالية؟,وش أنواع الإيرادات اللي تجي من ضريبة الدخل والأرباح والمكاسب الرأسمالية؟,NA,,,
ما هو سبب ارتفاع إيرادات الضرائب على التبغ في عام 2024 مقارنة بالعام 2023؟,ليش زادت ايرادات الضرايب على التبغ في 2024 عن 2023؟,NA,,,
ما هو مستهدف إجمالي الإيرادات غير الضريبية المتوقع في عام ٢٠٣٠؟,كم تتوقعون تكون الإيرادات اللي مو من الضرايب في 2030؟,NA,,,
ما هي نسبة النفقات التأسيسية من إجمالي النفقات في عام 2024؟,كم نسبة المصاريف التأسيسية من كل المصاريف في 2024؟,NA,,,
كم عدد الجهات الحكومية التابعة لقطاع الدفاع؟,كم عدد الجهات الحكومية اللي تبع قطاع الدفاع؟,NA,,,
متى سوف تبدأ رحلات الناقل الجوي الوطني الجديد الذي تم إطلاقه في المملكة؟,متى بتبدأ رحلات شركة الطيران الجديدة اللي سويناها؟,NA,,,
ما هي عدد الجهات الحكومية التابعة لقطاع التعليم؟,كم عدد الجهات الحكومية اللي تبع قطاع التعليم؟,NA,,,
في أي شهر اطلقت منصة استشراف؟,في أي شهر طلعتوا منصة استشراف؟,NA,,,
ما نوع الميداليات التي حققتها المملكة في المسابقات الإقليمية والعالمية في عام 2023؟,وش أنواع الميداليات اللي جبناها في المسابقات اللي صارت برا في 2023؟,NA,,,
"ما اسم مدير مشروع ""طروق السعودية""؟","مين مدير مشروع ""طرق السعودية""؟",NA,,,
ما هو نوع الشتلات البرية التي تم إنتاجها في عام 2023 ضمن مبادرة السعودية الخضراء؟,وش نوع الشتلات البرية اللي زرعتوها في 2023 في مبادرة السعودية الخضراء؟,NA,,,
ما هي السلع الغذائية الأساسية التي تم توفيرها في عام 2023 للمساهمة في تحقيق الأمن الغذائي؟,وش أنواع الأكل الأساسي اللي وفرتوها في 2023 عشان يكون عندنا اكتفاء ذاتي؟,NA,,,
ما هو ترتيب البحرين في مؤشر سهولة بدء الأعمال في تقرير ريادة الأعمال العالمي لعام 2023؟,وش ترتيب البحرين في قائمة الدول اللي يسهل فيها الواحد يبدأ مشروع خاص في 2023؟,NA,,,
"ما هي نسبة رضا المستفيد من منصة ""استشراف""؟","كم نسبة رضا الناس عن منصة ""استشراف""؟",NA,,,
ما هي نسبة النمو المتوقعة لمنطقة الهلال الخصيب خلال العامين القادمين؟,كم تتوقعون يكون نمو اقتصاد دول الهلال الخصيب في السنتين الجايين؟,NA,,,
